term	daf_count	tractate_count	tractates	sample_dafs
Sukkot (Festival of Booths)	2	2	Pesachim, Rosh Hashanah	Pesachim 5; Rosh Hashanah 13
Suma (Blind Person)	2	2	Bava Kamma, Gittin	Bava Kamma 87; Gittin 23
Ta'am (Taste)	2	2	Hullin, Yoma	Hullin 99; Yoma 75
Ta'anit Tzibur (communal fast)	2	2	Pesachim, Taanit	Pesachim 55; Taanit 12
Taanis (Fast)	2	2	Berakhot, Nedarim	Berakhot 14; Nedarim 10
Taharah (purity)	2	2	Hullin, Shabbat	Hullin 107; Shabbat 48
Taharot (purity laws)	2	2	Bekhorot, Hullin	Hullin 26; Bekhorot 30
tahor (pure)	2	2	Moed Katan, Zevachim	Moed Katan 7; Zevachim 33
tahor (ritually pure)	2	2	Bava Kamma, Yevamot	Bava Kamma 17; Yevamot 74
Tahor / Pure	2	2	Kinnim, Yoma	Kinnim 25b; Yoma 30
Takana (enactment by Sages)	2	2	Bava Metzia, Nedarim	Bava Metzia 103; Nedarim 3
Takana (Rabbinic Ordinance)	2	2	Beitzah, Yevamot	Beitzah 5; Yevamot 67b
Takanah (Rabbinic Enactment)	2	2	Bava Metzia, Gittin	Bava Metzia 3; Gittin 33
Takkanah (Rabbinic Enactment)	2	2	Rosh Hashanah, Shabbat	Rosh Hashanah 32; Shabbat 15
Talmid (Student)	2	2	Kiddushin, Shabbat	Kiddushin 49; Shabbat 13
Talmidei Chachamim	2	2	Hullin, Sanhedrin	Hullin 92; Sanhedrin 100
Talmud Torah (Learning Torah)	2	2	Avodah Zarah, Pesachim	Avodah Zarah 19; Pesachim 113
Tamar	2	2	Sotah, Yevamot	Sotah 10; Yevamot 33b
Tamchui (Daily Soup Kitchen)	2	2	Bava Batra, Shabbat	Bava Batra 9; Shabbat 118
Tamei (impure)	2	2	Berakhot, Chagigah	Berakhot 20b; Chagigah 4
Tamei / Impure	2	2	Kinnim, Yoma	Kinnim 25b; Yoma 30
Tamei/Tahor (Impure/Pure Status)	2	2	Kiddushin, Niddah	Kiddushin 65b; Niddah 9
tamei/tahor (impure/pure)	2	2	Beitzah, Bekhorot	Beitzah 18; Bekhorot 23
Tamid (Daily Sacrifice)	2	2	Pesachim, Zevachim	Pesachim 66; Zevachim 89
Tamim (Unblemished)	2	2	Hullin, Zevachim	Hullin 23; Zevachim 26
Tamim (unblemished/perfect)	2	2	Avodah Zarah, Bekhorot	Avodah Zarah 7; Bekhorot 40
Tanakh (Hebrew Bible)	2	2	Bava Batra, Megillah	Bava Batra 165; Megillah 17b
Tanna Kamma (anonymous first opinion)	2	2	Bava Metzia, Pesachim	Bava Metzia 92; Pesachim 32
Tanna Kamma (first opinion)	2	2	Bava Metzia, Nedarim	Bava Metzia 77; Nedarim 59
Tanna Kamma (First Sage)	2	2	Nedarim, Sanhedrin	Nedarim 85; Sanhedrin 81
Tanna Kamma (First Tanna)	2	2	Bava Batra, Megillah	Bava Batra 76; Megillah 5
Tanna Kamma (first/anonymous opinion)	2	2	Gittin, Hullin	Gittin 26; Hullin 70b
Tanna Kamma (תנא קמא)	2	2	Eruvin, Kiddushin	Eruvin 97; Kiddushin 75
Tannaim Debate	2	2	Bava Batra, Eruvin	Bava Batra 13; Eruvin 4
Tanu Rabbanan (Our Rabbis Taught)	2	2	Sotah, Zevachim	Sotah 32; Zevachim 8
Tashlumei Kefel (Double Payment)	2	2	Bava Kamma, Shevuot	Bava Kamma 5; Shevuot 49
Tashlumin (makeup offerings)	2	2	Pesachim, Yoma	Pesachim 80; Yoma 3
tashmish hamitah (marital relations)	2	2	Moed Katan, Taanit	Moed Katan 7; Taanit 11
Tashmishei Mitzvah (Mitzvah Objects)	2	2	Hullin, Menachot	Hullin 89; Menachot 36
Tavlin (Spices)	2	2	Shabbat, Zevachim	Shabbat 42; Zevachim 76
tavshil (cooked dish)	2	2	Hullin, Nedarim	Hullin 105; Nedarim 50
Techiyat Hametim (Resurrection of the Dead)	2	2	Avodah Zarah, Taanit	Avodah Zarah 20; Taanit 7
techumim	2	2	Beitzah, Eruvin	Beitzah 25; Eruvin 95
techumin (Sabbath boundaries)	2	2	Eruvin, Sotah	Eruvin 27; Sotah 30
Tefach (hand-breadth measure)	2	2	Bava Batra, Moed Katan	Bava Batra 14; Moed Katan 22
Tefach (Handbreadth Measurement)	2	2	Hullin, Shabbat	Hullin 50; Shabbat 138
Tefachim (handbreadths, unit of measurement)	2	2	Eruvin, Ketubot	Eruvin 60; Ketubot 35
Tefillah (prayer)	2	2	Berakhot, Megillah	Berakhot 7; Megillah 17b
tefillin	2	2	Eruvin, Gittin	Eruvin 95; Gittin 46
teiku (unresolved)	2	2	Bava Batra, Bava Metzia	Bava Batra 149; Bava Metzia 21
Temimim (unblemished animals)	2	2	Bava Kamma, Zevachim	Bava Kamma 12; Zevachim 70
Temura	2	2	Hullin, Zevachim	Hullin 2; Zevachim 49
Temura (Exchange)	2	2	Menachot, Temurah	Menachot 80; Temurah 15
temurah (exchange of sanctified animals)	2	2	Bekhorot, Temurah	Bekhorot 14; Temurah 8
Temurah (Exchange)	2	2	Temurah, Zevachim	Temurah 10; Zevachim 9
Ten Days of Repentance (Aseret Yemei Teshuvah)	2	2	Berakhot, Rosh Hashanah	Berakhot 12b; Rosh Hashanah 18
Tenai (Conditional Stipulation)	2	2	Ketubot, Yoma	Ketubot 79; Yoma 56
Tenai (stipulation/condition)	2	2	Pesachim, Sotah	Pesachim 89; Sotah 46
tenufah (waving)	2	2	Menachot, Sukkah	Menachot 93; Sukkah 38
Teruma (priestly portion)	2	2	Bava Batra, Gittin	Bava Batra 141; Gittin 54
terumah (heave offering)	2	2	Beitzah, Sanhedrin	Beitzah 4; Sanhedrin 55
terumah (priestly gift)	2	2	Bava Metzia, Gittin	Bava Metzia 49; Gittin 28
Terumah (priestly offering)	2	2	Sotah, Yoma	Sotah 6; Yoma 81
Terumah (Priestly portion)	2	2	Nedarim, Niddah	Nedarim 58; Niddah 57
Terumah and Ma'aser	2	2	Bekhorot, Kiddushin	Bekhorot 27; Kiddushin 58
teshuva (repentance)	2	2	Nedarim, Sanhedrin	Nedarim 39; Sanhedrin 25
tevel	2	2	Avodah Zarah, Makkot	Avodah Zarah 66; Makkot 17
Tevel (Untithed Grain)	2	2	Menachot, Pesachim	Menachot 67; Pesachim 35
tevel (untithed produce)	2	2	Bava Metzia, Pesachim	Bava Metzia 49; Pesachim 47
Tevel (untithed produce)	2	2	Nedarim, Yevamot	Nedarim 59; Yevamot 88
Tevilah (Immersion)	2	2	Chagigah, Megillah	Chagigah 22; Megillah 20
Thirty-day threshold	2	2	Ketubot, Sukkah	Ketubot 70; Sukkah 9
Tinok Shenishba (Captive Child)	2	2	Horayot, Keritot	Horayot 2; Keritot 4
Tircha	2	2	Beitzah, Shabbat	Beitzah 11; Shabbat 126
Toch K'dei Dibbur (Within the Time of Speaking)	2	2	Berakhot, Nazir	Berakhot 11b; Nazir 9
todah (thanksgiving offering)	2	2	Menachot, Zevachim	Menachot 27; Zevachim 50
Torah She-be'al Peh (Oral Torah)	2	2	Avodah Zarah, Pesachim	Avodah Zarah 15; Pesachim 66
Tosafos (medieval commentator)	2	2	Eruvin, Sukkah	Eruvin 27; Sukkah 42
Tosafos Commentary	2	2	Shabbat, Yevamot	Shabbat 55; Yevamot 92b
Tosafot (medieval commentator)	2	2	Bekhorot, Sukkah	Bekhorot 4; Sukkah 36
Tosafot (medieval glossators)	2	2	Bava Batra, Zevachim	Bava Batra 38; Zevachim 114
Tosafot / Tosfos	2	2	Bava Metzia, Ketubot	Bava Metzia 112; Ketubot 4
Tosafot interpretations	2	2	Berakhot, Gittin	Berakhot 34; Gittin 2
Tosafot's Analysis	2	2	Gittin, Menachot	Gittin 14; Menachot 40
Tosfos	2	2	Chagigah, Nedarim	Chagigah 24; Nedarim 47
Tosfos (medieval commentary)	2	2	Berakhot, Nazir	Berakhot 18; Nazir 2
treif (not kosher)	2	2	Gittin, Menachot	Gittin 28; Menachot 5
treifa (non-kosher animal)	2	2	Gittin, Shekalim	Gittin 69; Shekalim 20
Treifah	2	2	Hullin, Temurah	Hullin 73; Temurah 29
Treifah (mortally wounded animal)	2	2	Temurah, Zevachim	Temurah 17; Zevachim 70
Treifah (non-kosher animal)	2	2	Bekhorot, Sanhedrin	Bekhorot 36b; Sanhedrin 33
trumah (priestly portion)	2	2	Eruvin, Sotah	Eruvin 27; Sotah 30
trumat hadeshen	2	2	Meilah, Zevachim	Meilah 8; Zevachim 46
Tuma (Impurity)	2	2	Bava Kamma, Zevachim	Bava Kamma 2; Zevachim 105
Tumah & Tahara (Impurity & Purity)	2	2	Chagigah, Nedarim	Chagigah 9; Nedarim 36
Tumah (impurity) and Taharah (purity)	2	2	Bekhorot, Hullin	Bekhorot 22; Hullin 129
Tumah / Impurity	2	2	Hullin, Yoma	Hullin 88; Yoma 30
Tumah and Taharah (impurity and purity)	2	2	Menachot, Shabbat	Menachot 54; Shabbat 86
Tumah V'Taharah (Impurity and Purity)	2	2	Kiddushin, Shabbat	Kiddushin 73; Shabbat 144
Tumah/Tamei (impurity/impure)	2	2	Bekhorot, Zevachim	Bekhorot 34; Zevachim 70
tumtum (indeterminate sex)	2	2	Bava Batra, Yevamot	Bava Batra 140; Yevamot 72
tvul yom	2	2	Menachot, Yevamot	Menachot 24; Yevamot 75
tvul yom (one who immersed during the day)	2	2	Sotah, Yevamot	Sotah 30; Yevamot 72
Tzadikim (righteous)	2	2	Megillah, Taanit	Megillah 17b; Taanit 14
Tzedaka (charity)	2	2	Ketubot, Taanit	Ketubot 48; Taanit 9
tzedakah (charity)	2	2	Bava Batra, Pesachim	Bava Batra 149; Pesachim 31
Tzedukim (Sadducees)	2	2	Makkot, Yoma	Makkot 5; Yoma 4
Tzibur (Community)	2	2	Rosh Hashanah, Zevachim	Rosh Hashanah 18; Zevachim 117
Tzibur (congregation/community)	2	2	Ketubot, Yevamot	Ketubot 35; Yevamot 9
Tzitz (High Priest's Forehead Plate)	2	2	Pesachim, Zevachim	Pesachim 80b; Zevachim 23
Tzitz (High Priest's frontplate)	2	2	Menachot, Shabbat	Menachot 26; Shabbat 63
Tzitz (priestly frontplate)	2	2	Yevamot, Zevachim	Yevamot 59b; Zevachim 82
Tzitz Eliezer	2	2	Kiddushin, Sotah	Kiddushin 80; Sotah 27
Tzitzit	2	2	Berakhot, Zevachim	Berakhot 12; Zevachim 18
Tzitzit (fringes on garment)	2	2	Shabbat, Sukkah	Shabbat 131; Sukkah 42
tzitzit (fringes)	2	2	Menachot, Shabbat	Menachot 2; Shabbat 132
tzurba m'rabanan (Torah scholar)	2	2	Bava Batra, Bava Metzia	Bava Batra 175; Bava Metzia 19
ubar (fetus)	2	2	Bava Kamma, Bekhorot	Bava Kamma 78; Bekhorot 2
Ula	2	2	Kiddushin, Meilah	Kiddushin 11; Meilah 11
Ula (Amora)	2	2	Arakhin, Bava Batra	Arakhin 21; Bava Batra 57
Ulla's Position	2	2	Kiddushin, Sanhedrin	Kiddushin 45; Sanhedrin 16
Usha	2	2	Rosh Hashanah, Sukkah	Rosh Hashanah 32; Sukkah 39
Vidui (confession)	2	2	Sanhedrin, Zevachim	Sanhedrin 43; Zevachim 82
Vilna Gaon	2	2	Berakhot, Sotah	Berakhot 53; Sotah 14
Wine (Yayin)	2	2	Nedarim, Sukkah	Nedarim 10; Sukkah 6
Wine / Yayin	2	2	Nazir, Pesachim	Nazir 59; Pesachim 108
Women as witnesses	2	2	Rosh Hashanah, Shevuot	Rosh Hashanah 22; Shevuot 30
World to Come (Olam HaBa)	2	2	Berakhot, Kiddushin	Berakhot 54; Kiddushin 39
Yaakov/Jacob	2	2	Bava Batra, Hullin	Bava Batra 121; Hullin 91
Yavam (Brother-in-Law)	2	2	Ketubot, Yevamot	Ketubot 58; Yevamot 67b
Ye'ush (Despair/Relinquishment)	2	2	Bava Kamma, Bava Metzia	Bava Kamma 66; Bava Metzia 23
Yechezkel (Ezekiel)	2	2	Menachot, Sanhedrin	Menachot 45; Sanhedrin 100
Yehoshua Bin Nun	2	2	Eruvin, Megillah	Eruvin 63; Megillah 24
Yehudah and Tamar	2	2	Makkot, Temurah	Makkot 23; Temurah 29
Yericho	2	2	Sanhedrin, Sotah	Sanhedrin 113; Sotah 36
Yerushah (inheritance)	2	2	Bava Batra, Kiddushin	Bava Batra 143; Kiddushin 18
Yesod (foundation)	2	2	Nedarim, Zevachim	Nedarim 3; Zevachim 62
Yetomim (יתומים) - Orphans	2	2	Gittin, Rosh Hashanah	Gittin 49; Rosh Hashanah 14
Yetzer Hara	2	2	Kiddushin, Sanhedrin	Kiddushin 30; Sanhedrin 45
Yetzer Hara / Evil Inclination	2	2	Niddah, Sanhedrin	Niddah 13; Sanhedrin 103
Yetzias Mitzrayim	2	2	Bava Metzia, Berakhot	Bava Metzia 61; Berakhot 12
yibbum (levirate marriage)	2	2	Moed Katan, Yevamot	Moed Katan 8; Yevamot 32b
Yibbum (Levirate Marriage)	2	2	Yevamot, Yoma	Yevamot 10b; Yoma 13
Yibum (levirate marriage obligation)	2	2	Ketubot, Yevamot	Ketubot 63; Yevamot 110
Yibum and Chalitzah	2	2	Ketubot, Yevamot	Ketubot 107; Yevamot 80
Yichus (Lineage)	2	2	Kiddushin, Menachot	Kiddushin 71; Menachot 53
Yisrael	2	2	Berakhot, Pesachim	Berakhot 12; Pesachim 71
Yochanan Kohen Gadol	2	2	Bava Metzia, Berakhot	Bava Metzia 90; Berakhot 29
yom kippur	2	2	Shabbat, Zevachim	Shabbat 132; Zevachim 109
yom kippur (Day of Atonement)	2	2	Menachot, Zevachim	Menachot 93; Zevachim 39
Yom Kippur (Yom HaKippurim)	2	2	Keritot, Menachot	Keritot 25b; Menachot 99
Yom Tov (festival)	2	2	Beitzah, Pesachim	Beitzah 7; Pesachim 83
yoresh (heir)	2	2	Eruvin, Temurah	Eruvin 70; Temurah 2
Yosef (Joseph)	2	2	Megillah, Sotah	Megillah 16b; Sotah 36
Yosef ben Choni	2	2	Pesachim, Zevachim	Pesachim 73; Zevachim 11
Yoshiyahu	2	2	Arakhin, Sanhedrin	Arakhin 12; Sanhedrin 49
Yosi ben Yoezer	2	2	Pesachim, Sotah	Pesachim 17; Sotah 48
Yovel	2	2	Gittin, Rosh Hashanah	Gittin 48; Rosh Hashanah 26
Yovel (jubilee)	2	2	Bava Batra, Bava Metzia	Bava Batra 112; Bava Metzia 79
Zar (non-priest)	2	2	Menachot, Zevachim	Menachot 20; Zevachim 4
Zav (זב)	2	2	Nazir, Niddah	Nazir 66; Niddah 56
Zav and Ba'al Keri	2	2	Bekhorot, Niddah	Bekhorot 27; Niddah 29
Zavah	2	2	Bekhorot, Niddah	Bekhorot 27; Niddah 42
zavah	2	2	Hullin, Niddah	Hullin 136; Niddah 34
Zechut Avot (Merit of Ancestors)	2	2	Sanhedrin, Sotah	Sanhedrin 110; Sotah 35
Zerika (Sprinkling Blood)	2	2	Menachot, Zevachim	Menachot 101; Zevachim 107
Zevach (animal sacrifice)	2	2	Menachot, Sanhedrin	Menachot 15; Sanhedrin 67
Zevach (slaughtered offering)	2	2	Menachot, Zevachim	Menachot 90; Zevachim 90
Ziz (ledge/protrusion)	2	2	Bava Batra, Eruvin	Bava Batra 59; Eruvin 98
טומאה (Impurity)	2	2	Avodah Zarah, Bava Kamma	Avodah Zarah 52; Bava Kamma 82
טומאה (ritual impurity)	2	2	Hullin, Yevamot	Hullin 9; Yevamot 120
טומאה (Tumah/Impurity)	2	2	Eruvin, Hullin	Eruvin 88; Hullin 29b
יהושע (Joshua)	2	2	Bava Kamma, Sanhedrin	Bava Kamma 82; Sanhedrin 11
ירושלים (Jerusalem)	2	2	Bava Kamma, Eruvin	Bava Kamma 82; Eruvin 101
פסול (Invalid)	2	2	Bava Batra, Hullin	Bava Batra 162; Hullin 29b
רבי מאיר (Rabbi Meir)	2	2	Eruvin, Sanhedrin	Eruvin 101; Sanhedrin 11
ריש לקיש (Reish Lakish)	2	2	Bava Batra, Bava Metzia	Bava Batra 27; Bava Metzia 84
תוספות (Tosafot)	2	2	Bava Batra, Eruvin	Bava Batra 162; Eruvin 101
תרומה (Terumah - Priestly Portion)	2	2	Bava Batra, Bekhorot	Bava Batra 95; Bekhorot 29
Yayin Nesech	6	1	Avodah Zarah	Avodah Zarah 31; Avodah Zarah 33; Avodah Zarah 56; Avodah Zarah 62; Avodah Zarah 73
Achot Isha (Wife's Sister)	5	1	Yevamot	Yevamot 112; Yevamot 32; Yevamot 4; Yevamot 94; Yevamot 95
Bor (Pit)	5	1	Bava Kamma	Bava Kamma 28; Bava Kamma 3; Bava Kamma 30; Bava Kamma 43; Bava Kamma 55
Eish (Fire)	5	1	Bava Kamma	Bava Kamma 22; Bava Kamma 43; Bava Kamma 5; Bava Kamma 55; Bava Kamma 6
Keren (Goring)	4	1	Bava Kamma	Bava Kamma 15; Bava Kamma 2; Bava Kamma 3; Bava Kamma 5
Kinyan	4	1	Bava Batra	Bava Batra 114; Bava Batra 152; Bava Batra 157; Bava Batra 49
Kli Shemelachto L'Issur	4	1	Shabbat	Shabbat 123; Shabbat 124; Shabbat 36; Shabbat 44
Mamzer (illegitimate child)	4	1	Yevamot	Yevamot 14; Yevamot 15; Yevamot 78; Yevamot 92
Matzah	4	1	Pesachim	Pesachim 38; Pesachim 39; Pesachim 41; Pesachim 96
Nesachim	4	1	Menachot	Menachot 15; Menachot 45; Menachot 49b; Menachot 79
Omer (Sheaf Offering)	4	1	Menachot	Menachot 46; Menachot 64; Menachot 67; Menachot 70
Reshbam	4	1	Bava Batra	Bava Batra 114; Bava Batra 125; Bava Batra 161; Bava Batra 39
Shor (Ox)	4	1	Bava Kamma	Bava Kamma 2; Bava Kamma 63; Bava Kamma 66; Bava Kamma 67
shtar (document)	4	1	Bava Batra	Bava Batra 153; Bava Batra 156; Bava Batra 30; Bava Batra 52
Shtei Halechem (Two Loaves of Shavuot)	4	1	Menachot	Menachot 59; Menachot 62; Menachot 75; Menachot 94
Tzaar (pain and suffering)	4	1	Bava Kamma	Bava Kamma 4; Bava Kamma 83; Bava Kamma 84; Bava Kamma 91
Ben Sorer U'Moreh	3	1	Sanhedrin	Sanhedrin 71; Sanhedrin 75; Sanhedrin 86
Ben Sorer u-Moreh	3	1	Sanhedrin	Sanhedrin 68; Sanhedrin 70; Sanhedrin 72
Bigdei Kehunah (Priestly Garments)	3	1	Yoma	Yoma 24; Yoma 69; Yoma 73
Chalitza (חליצה)	3	1	Yevamot	Yevamot 103; Yevamot 106; Yevamot 16b
Chametz	3	1	Pesachim	Pesachim 15; Pesachim 28; Pesachim 36
Chametz B'Pesach	3	1	Avodah Zarah	Avodah Zarah 33; Avodah Zarah 73; Avodah Zarah 74
Chatzi Nezek (half damages)	3	1	Bava Kamma	Bava Kamma 20; Bava Kamma 26; Bava Kamma 40
Chenek (strangulation)	3	1	Sanhedrin	Sanhedrin 49; Sanhedrin 52; Sanhedrin 67
Chevlei Mashiach (Birth Pangs of Mashiach)	3	1	Sanhedrin	Sanhedrin 105; Sanhedrin 98; Sanhedrin 99
Eglah Arufah	3	1	Hullin	Hullin 24; Hullin 11; Hullin 82
Eruv (עירוב)	3	1	Eruvin	Eruvin 66; Eruvin 74; Eruvin 89
Gazlan (Thief/Robber)	3	1	Bava Kamma	Bava Kamma 95; Bava Kamma 96; Bava Kamma 97
Geichazi	3	1	Sanhedrin	Sanhedrin 100; Sanhedrin 105; Sanhedrin 108
Get Yashan (Old Get)	3	1	Gittin	Gittin 18; Gittin 79; Gittin 80
Hachana (Preparation)	3	1	Beitzah	Beitzah 2; Beitzah 3; Beitzah 5
Heker (sign/marker)	3	1	Eruvin	Eruvin 12; Eruvin 6; Eruvin 9
Karka (land/real property)	3	1	Bava Batra	Bava Batra 155; Bava Batra 29; Bava Batra 44
Karmelit (Intermediate Domain)	3	1	Shabbat	Shabbat 4; Shabbat 64; Shabbat 8
Kinyan (Acquisition/Mode of Transfer)	3	1	Bava Batra	Bava Batra 76; Bava Batra 84; Bava Batra 86
Kinyan Sudar	3	1	Kiddushin	Kiddushin 26; Kiddushin 27; Kiddushin 28
Kli Shemelachto L'Heter	3	1	Shabbat	Shabbat 123; Shabbat 124; Shabbat 36
Konam	3	1	Nedarim	Nedarim 15; Nedarim 28; Nedarim 45
Korban Pesach (Pesach offering)	3	1	Pesachim	Pesachim 53; Pesachim 59; Pesachim 64
Matnat Shechiv Mera	3	1	Bava Batra	Bava Batra 114; Bava Batra 150; Bava Batra 49
Na'arah (Young Woman)	3	1	Ketubot	Ketubot 32; Ketubot 40; Ketubot 44
Nadav and Avihu	3	1	Zevachim	Zevachim 115; Zevachim 16; Zevachim 34
Nezek (Damage)	3	1	Bava Kamma	Bava Kamma 27; Bava Kamma 58; Bava Kamma 85
Nidrei Havai	3	1	Nedarim	Nedarim 24; Nedarim 25; Nedarim 28
Nidrei Zeruzin	3	1	Nedarim	Nedarim 24; Nedarim 25; Nedarim 28
Omer (sheaf offering)	3	1	Menachot	Menachot 63; Menachot 65; Menachot 76
Oto Ve'et Beno	3	1	Hullin	Hullin 78; Hullin 81; Hullin 86
Parashat Tzitzit	3	1	Berakhot	Berakhot 12; Berakhot 12b; Berakhot 14
Pinchas	3	1	Sanhedrin	Sanhedrin 106; Sanhedrin 44; Sanhedrin 84
Rabbi Yochanan ben Gudgada	3	1	Yevamot	Yevamot 112; Yevamot 112b; Yevamot 114
Ran (Rabbi Nissim)	3	1	Nedarim	Nedarim 4; Nedarim 83; Nedarim 86b
Ribbit (Interest)	3	1	Bava Metzia	Bava Metzia 15; Bava Metzia 70; Bava Metzia 71
Schach (Sukkah Covering)	3	1	Sukkah	Sukkah 14; Sukkah 21; Sukkah 37
Seh (Sheep)	3	1	Bava Kamma	Bava Kamma 63; Bava Kamma 66; Bava Kamma 67
Sevara (Logical Reasoning)	3	1	Bava Batra	Bava Batra 48; Bava Batra 77; Bava Batra 9
Shaliach (Messenger/Agent)	3	1	Gittin	Gittin 10; Gittin 14; Gittin 3
shelamim	3	1	Zevachim	Zevachim 109; Zevachim 29; Zevachim 46
Shemoneh Esrei (Eighteen Blessings)	3	1	Berakhot	Berakhot 15; Berakhot 20; Berakhot 25b
Shtei HaLechem	3	1	Menachot	Menachot 61; Menachot 84; Menachot 85
Siman (Identifying Mark)	3	1	Bava Metzia	Bava Metzia 18; Bava Metzia 23; Bava Metzia 24
Skila (stoning)	3	1	Sanhedrin	Sanhedrin 52; Sanhedrin 67; Sanhedrin 76
Skilah (Stoning)	3	1	Sanhedrin	Sanhedrin 15; Sanhedrin 51; Sanhedrin 65
tumat ohel	3	1	Nazir	Nazir 49; Nazir 52; Nazir 54
Tzafon (North)	3	1	Zevachim	Zevachim 26; Zevachim 48; Zevachim 55
Tzitzit (fringes)	3	1	Menachot	Menachot 37; Menachot 43; Menachot 6
Yesod (base of altar)	3	1	Zevachim	Zevachim 37; Zevachim 58; Zevachim 64
Zaken Mamre	3	1	Sanhedrin	Sanhedrin 87; Sanhedrin 88; Sanhedrin 89
Achan	2	1	Sanhedrin	Sanhedrin 43; Sanhedrin 44
Acher (Elisha ben Abuyah)	2	1	Chagigah	Chagigah 15; Chagigah 16
Achitophel	2	1	Sanhedrin	Sanhedrin 106; Sanhedrin 70
Achos Isha (wife's sister)	2	1	Yevamot	Yevamot 8; Yevamot 9
Achot Chalutzato (Sister of the Chalitzah Woman)	2	1	Yevamot	Yevamot 23; Yevamot 26
Achot isha (wife's sister prohibition)	2	1	Yevamot	Yevamot 112b; Yevamot 79
Adam HaMazik	2	1	Bava Kamma	Bava Kamma 2; Bava Kamma 28
Adam Hamazik (Personal Damager)	2	1	Bava Kamma	Bava Kamma 58; Bava Kamma 6
Adat Korach (Congregation of Korach)	2	1	Sanhedrin	Sanhedrin 108; Sanhedrin 110
Afikoman	2	1	Pesachim	Pesachim 70; Pesachim 71
Ahava Rabbah / Ahavat Olam	2	1	Berakhot	Berakhot 11b; Berakhot 12b
Akarah (Infertile Woman)	2	1	Sotah	Sotah 25; Sotah 26
Al Menat (On Condition That)	2	1	Gittin	Gittin 74; Gittin 84
Amah (unit of measurement)	2	1	Zevachim	Zevachim 62; Zevachim 64
Amalek	2	1	Sanhedrin	Sanhedrin 106; Sanhedrin 99
Ammon and Moab	2	1	Sanhedrin	Sanhedrin 104; Sanhedrin 96
Anshei Knesset Hagedolah	2	1	Megillah	Megillah 24; Megillah 3
Apikorus (Heretic)	2	1	Sanhedrin	Sanhedrin 90; Sanhedrin 98
Arayot (Forbidden Relationships)	2	1	Kiddushin	Kiddushin 67b; Kiddushin 68
Arba Kosot (Four Cups)	2	1	Pesachim	Pesachim 110; Pesachim 112
Arifah (Neck-Breaking)	2	1	Hullin	Hullin 23; Hullin 24
Aris (sharecropper)	2	1	Bava Batra	Bava Batra 46; Bava Batra 47
Aseret HaDibrot (Ten Commandments)	2	1	Shekalim	Shekalim 16; Shekalim 6
Asham Talui (Conditional Guilt Offering)	2	1	Keritot	Keritot 26b; Keritot 7
Asmachta (Conditional Promise)	2	1	Bava Batra	Bava Batra 168; Bava Batra 174
Av Hatumah (primary source of impurity)	2	1	Niddah	Niddah 35; Niddah 55
Av hatumah (primary source of impurity)	2	1	Niddah	Niddah 49; Niddah 5
aveidah (lost object)	2	1	Bava Metzia	Bava Metzia 22; Bava Metzia 27
Aveira (Transgression)	2	1	Shabbat	Shabbat 4; Shabbat 41
Azarah	2	1	Zevachim	Zevachim 55; Zevachim 56
Ba'al Ov	2	1	Sanhedrin	Sanhedrin 65; Sanhedrin 66
Baal keri (man with seminal emission)	2	1	Niddah	Niddah 22; Niddah 43
Baal Mum (Blemished Animal)	2	1	Zevachim	Zevachim 26; Zevachim 86
Bartenura	2	1	Middot	Middot 36; Middot 37
Bat Kohen (Daughter of a Priest)	2	1	Sanhedrin	Sanhedrin 50; Sanhedrin 90
Bayit (House)	2	1	Eruvin	Eruvin 76; Eruvin 86
bechor (firstborn son)	2	1	Bava Batra	Bava Batra 142; Bava Batra 55
Behema (domestic animal)	2	1	Hullin	Hullin 59; Hullin 84
bein hashmashot	2	1	Hullin	Hullin 22; Hullin 136
Beis Din HaGadol	2	1	Sanhedrin	Sanhedrin 87; Sanhedrin 89
Beit Sha'ar (Gatehouse)	2	1	Eruvin	Eruvin 75; Eruvin 76
Belila (mixing)	2	1	Menachot	Menachot 18; Menachot 19
Ben Sorer U'Moreh (Wayward Son)	2	1	Sanhedrin	Sanhedrin 46; Sanhedrin 69
Beshochbecha Uvekumecha	2	1	Berakhot	Berakhot 2; Berakhot 4
Bia (sexual relations)	2	1	Ketubot	Ketubot 55; Ketubot 74
Bigdei Lavan (White Garments)	2	1	Yoma	Yoma 39; Yoma 60
Birkat HaMazon	2	1	Berakhot	Berakhot 49; Berakhot 53
Bitul Torah (Neglect of Torah Study)	2	1	Taanit	Taanit 7; Taanit 8
Blemish (Mum)	2	1	Temurah	Temurah 19; Temurah 24
Bnei Kohanim Gedolim	2	1	Ketubot	Ketubot 108; Ketubot 88
Boneh (Building)	2	1	Shabbat	Shabbat 102; Shabbat 103
Boneh (building)	2	1	Shabbat	Shabbat 125; Shabbat 146
bor (cistern)	2	1	Bava Batra	Bava Batra 17; Bava Batra 63
Bor (Pit/Well)	2	1	Bava Kamma	Bava Kamma 2; Bava Kamma 50
Borei Pri Ha'etz (Blessing for Tree Fruit)	2	1	Berakhot	Berakhot 41; Berakhot 50
Borei Pri HaGafen	2	1	Pesachim	Pesachim 105; Pesachim 108
Borer (Sorting/Separating)	2	1	Shabbat	Shabbat 138; Shabbat 139
Boshes (embarrassment)	2	1	Bava Kamma	Bava Kamma 4; Bava Kamma 84
