preferred_canonical	merged_from	before_daf_count	after_daf_count
Dissent in court	Dissenting judge	1	2
Distance and Travel Time	Distance requirements	1	2
Divination and magic prohibitions	Divination and Nachash	1	2
Divine Justice and Exactingness	Divine justice and theodicy	1	2
Divine Names	Divine names and protection; Divine names versus demonic magic	2	4
Divine Protection and Miracles	Divine protection of Torah scholars' honor	1	2
Divine Punishment and Reward	Divine Punishment and Transgressions	1	2
Diyuk (precision)	Diyuk (textual inference)	1	2
Doche et HaShabbat (overrides Shabbat restrictions)	Docheh Shabbat (overrides Shabbat restrictions)	1	3
Doeg HaEdomi	Doeg and Achitophel	6	8
Dofen Akuma (bent wall)	Dofen (wall of sukkah)	7	9
Don Mina Umina (learn from context and apply in context)	Don Minah U'Minah (learn with original context)	1	5
Don Mina Voki Be'Atrah (learn from context but apply elsewhere)	Don Minah V'Okei B'Atrah (learn and apply in new context)	1	6
Dor (generation)	Dorot (generations)	1	2
Dor HaMabul (Generation of the Flood)	Dor HaMabul Sins	1	2
Dores (pressure/stabbing motion)	Dorsin (shallow forcing into throat)	1	2
Double Collection/Fraud Prevention	Double Collection Risk	1	2
Double Language Principle	Double Language; Double Language of Isaron in Scripture	1	4
Double Portions/Double Consequences	Double Portion Inheritance	1	2
Doubtful Firstborn Cases	Doubtful Firstborn	1	2
Drabanan vs. D'Oraisa (rabbinical vs. biblical law)	Drabanan restrictions in Bein Hashmashot (rabbinical restrictions in twilight)	1	2
Drasa (pressure on knife)	Dras (trampling living prey)	1	2
Drash (hermeneutic interpretation)	Drash (midrashic interpretation); Drasha (exegetical interpretation)	1	8
Drasha (hermeneutical derivation)	Drashot (textual derivations); Drashiyot (homiletical interpretations); Drasho and derasha (homiletical and exegetical methods)	24	27
Drisa (pressure during cutting)	Drisa (pressure in slaughtering)	2	3
Drisha (investigation)	Drishat (inquiries); Drisha v'chakira (inquiry and investigation)	1	5
Drusa (animal attack damage)	Drusa (clawing with tearing)	1	3
Duchan (platform)	Duchan (platform for kohanim); Duchan (platform of the Levites)	1	3
Dumah (gossip)	Dumah (angel over the dead)	1	2
Dung and Waste Products	Dung as Agricultural Commodity	1	2
Dvir (inner sanctuary)	Dvir (book, from Persian)	1	2
Dysphemism (negative renaming)	Dysphemism and Anti-Euphemism	1	2
East-West Orientation	East-West vs. North-South Orientation	1	2
Ed Echad (single witness)	Eid Echad (one witness)	17	21
Ed Echad Ne'eman B'Issurim (one witness trusted in prohibitions)	Eid Echad Ne'eman Ba'issurin (one witness reliable in matters of prohibition)	5	6
Edei Birur (witnesses for clarification)	Edei Beirur (proof witnesses)	1	2
Edei Hazamah (disqualifying witnesses)	Edei Hazama (witnesses of contradiction)	1	2
Edei Kiyum (constitutive witnesses)	Edei Kayum (witnesses for establishment)	1	2
Edei mesira (witnesses to transfer)	Edei Mesira (witnesses to delivery)	1	6
Edei Zomemim (conspiring witnesses)	Edim Zomemim (conspiring witnesses)	0	24
Edom/Rome	Edom/Rome (negative characterization); Edom/Rome connection	1	3
Edomian Vinegar (Edomite vinegar)	Edomian wine quality	1	2
Edut (testimony)	Edus (testimony)	18	23
Egad in Lulav (binding the lulav)	Egad Kli Shmo Egad (binding in vessel makes one unit)	1	3
Eglah Arufah (heifer whose neck is broken)	Egla arufa (calf ceremony for unsolved murder)	30	31
Egoz (walnut-sized measure)	Egoz (nut)	1	2
Ei Avid Mahani (violation doesn't prevent halachic effect)	Ei Avid Mahni (whether acts done in violation have legal effect); Ei Avid Lo Mahani (violation prevents halachic effect)	1	3
Eidei Hazamah (refuting witnesses)	Eidim Zomemim (conspiring witnesses); Eidim Zomemim (false witnesses)	1	14
Eidei Mesira (witnesses of delivery)	Eidei Mesira in Curing Bad Witnesses (witnesses of delivery)	3	4
Eidus (testimony)	Eidut (testimony); Eidus in exclusions (testimony)	3	5
Eighteen Things (shemonah asar davar)	Eighteen Things in Rambam's approach; Eighteen decrees of Beit Shammai and Beit Hillel	2	4
Eimurim (innards offered on altar)	Eimurim in analogy (innards offered on altar)	2	3
Ein Adam Meiz Panav (no one dares to deny brazenly)	Ein Adam Meiz Panav Bifnei Ba'al Chovo (one lacks audacity to deny debt to creditor); Ein Ish Meiz Panav (no one lies to creditor)	1	3
Ein Issur Chal Al Issur (no second prohibition takes effect on first)	Ein Issur Chal Al Issur (one prohibition does not take effect on another)	1	9
Ein Machzikin B'Nichsei Eshet Ish (no presumption of ownership over married woman's property)	Ein machzikin benikhsei katan (we do not acquire property for a minor)	1	2
Ein Mevatlin Issur Lechatchila (cannot intentionally nullify prohibited items)	Ein Mevatlin Issur LeKatchila (one cannot intentionally nullify a prohibition)	2	3
Ein Mitkaven (not intentional)	Eino Mitkaven (unintentional act)	1	6
Ein Yedi'ah b'Techila v'Yesh Yedi'ah b'Sof (no awareness at beginning, awareness at end)	Eini Yode'a vs. Eino Yadu'a (I do not know vs. it is not known)	1	2
Eini Yode'a (I do not know)	Eini Yodeia (I do not know)	2	3
Eirusin (betrothal)	Eiras (word for betrothal in Torah)	9	10
Eiruv	Eiruv (eruv); Eiruv (joining)	2	8
Eiruv Chatzeiros (joining courtyards)	Eiruv Chatzeirot and Eiruv Techumin (courtyard eruv and boundary eruv)	1	2
Eishet Ach (brother's wife)	Eishet Achiv She'Lo Hayah Be'Olamo (brother's wife when he was not yet born)	1	4
Eitza Tova (good advice)	Eitza Tova vs. Din (good advice versus binding law)	1	2
Eivah (enmity)	Eivah in Non-Jewish Relations (concern about hatred); Eivah in Priestly Conflict (enmity between High Priests)	6	10
Eiver Min HaChai (limb from a living animal)	Eiver min ha-chai in non-Jew law (limb from living animal); Eiver Min HaChai in Tumah (limb from a living animal causing impurity)	10	12
Elazar (High Priest)	Elazar ben Aharon	1	2
Eli (High Priest)	Eli the Priest	0	1
Elijah the Prophet (on Mount Carmel)	Elijah at Mount Carmel; Elijah the Prophet and Ahab; Elijah the Prophet on Mount Carmel	0	3
Elisha the Prophet	Elisha; Elisha and the miracle of ripened barley during famine; Elisha's sicknesses	7	10
Embarrassment (boshes)	Embarrassment in court (bizayon); Embarrassment in widow support; Embarrassment of sinner; Embarrassment versus physical pain in execution	1	5
Emet (truth)	Emet Kana (purchase truth); Emet le-amito (truth to its truth); Emet me-Eretz tizmakh (truth sprouts from earth); Emet umishpat shalom (truth, judgment, and peace); Emet V'Yatziv (true and firm); Emet ve-emunah (truth and faith); Emet ve-Yatziv (blessing after Shema)	3	13
Emunah (faith)	Emunah (faith in divine providence)	3	4
Emurim (sacrificial portions offered on altar)	Eiver (limb); Eivarim and Imurim (limbs and fats)	11	13
Entry to Beit Hamikdash	Entry and Punishment in Kodesh HaKodashim	1	2
Ephron's field purchase	Ephron (Abraham's purchase of Cave of Machpelah); Ephron's Field in Gezerah Shavah; Ephron's greed	1	4
Erech	Erech (fixed valuation)	0	9
Eretz Yisrael	Eretz Yisrael (Land of Israel)	46	48
Eretz Yisrael and Chutz La'aretz	Eretz Yisrael vs. Chutz L'Aretz (Land of Israel vs. Diaspora); Eretz Yisrael vs. Chutz la-Aretz	1	13
Eretz Yisrael vs. Bavel	Eretz Yisrael vs. Bavel (geographic distinction)	8	12
Erev and Bein Ha'Arbayim	Erev and Bein Ha'Arbayim (afternoon periods)	0	1
Erev Pesach	Erev Pesach (eve of Passover); Erev Pesach from midday in Erev Pesach (eve of Passover)	0	9
Erev Shabbat	Erev Shabbat (eve of Sabbath); Erev Shabbat exception in Erev Shabbat (eve of Sabbath); Erev Shabbat water heating in Erev Shabbat (eve of Sabbath); Erev Shabbat work on reeds in Erev Shabbat (eve of Sabbath)	0	17
Erev Shabbat and Erev Yom Tov	Erev Shabbat and Erev Yom Tov prohibition	1	2
Erev Shemesh	Erev Shemesh (sunset brings purity); Erev Shemesh (until sunset)	0	3
Erev Yom Kippur	Erev Yom Kippur (eve of Day of Atonement); Erev Yom Kippur exception in Erev Yom Kippur (eve of Day of Atonement)	0	4
Erev Yom Tov	Erev Yom Tov (eve of festival); Erev Yom Tov bathhouse closure in Erev Yom Tov (eve of festival)	0	3
Erusin	Erusin (betrothal)	0	15
Erusin and Nisuin	Erusin and Nisuin (betrothal and marriage); Erusin vs. Nisuin (betrothal vs. marriage)	0	10
Eruv	Eruv (joining domains); Eruv (joining of domains); Eruv (merging ownership)	0	36
Eruv Techumin (boundary eruv)	Eruv Techumin meal measure	14	15
Ervah (forbidden relations)	Erva (personal status)	22	23
Ervat Davar (nakedness of a matter)	Ervas Davar (matter of sexual impropriety)	2	4
Esh Tamid (constant fire)	Esh ochaltan (fire consumes them)	1	2
Eshes Ach (dead brother's wife)	Eshes Ach (brother's wife)	1	10
Eshes Ish (married woman)	Eshet ish (married woman)	12	13
Eshkol (grape cluster)	Eshkol anavim (single cluster of grapes)	1	2
Esnan Zonah (prostitute's payment)	Esnan (prostitute's payment)	9	10
Estate division (chaluku)	Estate division	1	2
Esther	Esther in Tanakh	2	5
Etrog and Lulav (Sukkot)	Etrog and Hadassim (four species)	1	2
Etzem kesora (bone size of barley grain)	Etzem k'seora (bone size of barley grain)	3	4
Etzim (wood)	Etzim specifications (wood specifications)	3	4
Euphrates River and rain testimony	Euphrates River	1	3
Eved Ivri (Hebrew slave)	Eved ivri (Hebrew servant)	23	24
Eved Ivri and Pidyon	Eved Ivri ear piercing	1	2
Eved Knaani (Canaanite slave)	Eved Knaani slave's hand	22	23
Eved Meshuchrar (freed slave)	Eved freedom and compensation	3	4
Eved Shel Shnei Shutfin (slave of two partners)	Eved of two partners	1	2
Ever (limb)	Ever Hameduldal (dangling limb)	2	3
Exclusion/Inclusion principle (ein miyut/ribui)	Excluded middle in Mishnah interpretation; Excluded middle	1	4
Exile (galus)	Exile as atonement	1	2
Exodus (yetziat Mitzrayim)	Exodus connection	1	2
Expert measurer (mumche)	Expert amulet (mumcheh)	1	2
Extra vav in Torah	Extra vav in biblical text as drasha source	1	2
Eye and tooth (ayin and shein)	Eye and tooth cases	1	2
Ezer K'Negdo (wife as helper or opponent)	Ezer k'negdo (helper opposite)	1	2
Ezra's takkanah (ordinance allowing itinerant merchants for women's benefit)	Ezra's takkanah (ordinance)	1	2
Ezra-Nehemiah story	Ezra and Nechemya narrative	2	3
Ezrah (Temple courtyard)	Ezra (courtyard)	2	3
Ezrat Nashim (Women's Court)	Ezrat Nashim (women's courtyard); Ezrat Nashim (Women's Court) and access	12	14
False oath (shevuat sheker)	False oath liability	1	3
False Witnesses (edei sheker)	False Witnesses (eidim zomemim)	1	2
Famine (shanei ra'avon)	Famine Effect	1	2
Father's Authority Over Minor Daughter (ktana)	Father's Control (biyeureiha beis aviha); Father's Control (reshut av); Father's control and authority (aviha); Father's control over daughter	1	5
Father's da'at (father's knowledge/consent)	Father's Approval (da'as aviha)	1	2
Father's Rights	Father's Rights (Zakkai B'Bito)	2	3
Fear of Heaven vs. Fear of Man	Fear of Heaven vs. Hardness of Heart	1	2
Fear Suspends Bleeding (Charada Mesaleket)	Fear Withholding Blood (Chareidah Mesaleket)	1	2
Fermentation as Criterion	Fermentation as Threshold	1	2
Festival/Regel (Pilgrimage)	Festival Season	1	2
Fetus Development and Recognition	Fetal Posture and Development	1	2
Fetus Status	Fetus Status (Nine-Month); Fetus status with maternal acceptance	1	3
Fever Remedies	Fever	1	2
Field Division for Pe'ah	Fields	1	2
Figs vs. Grapes	Figs and Grapes	1	2
Fine (Knas)	Fine and Kinyan (monetary penalty or acquisition)	1	2
Fire and Shabbat	Fire in Shabbat; Fire on Shabbat	0	2
Fire of Gehennom	Fire and Gehinnom Imagery	1	2
Fire Pan (Machtah)	Fire Pans (Machtah)	1	2
First and Second Temple	First and Second Exiles	1	2
Firstborn (Bechor)	Firstborn Animals (Bekhor)	1	2
Fish Brine (Tzir)	Fish Brine (Tzir) and Purification; Fish Juice and Brine Treatment	1	3
Five Damages (Nezek, Tza'ar, Ripui, Boshet, Sheves)	Five Payments (Nezek, Tza'ar, Boshes, Ripuy, Sheves)	0	1
Fixed Time (Kavua Zman)	Fixed Time in Mitzvot; Fixed Times in Learning	0	2
Flattery (Chanufah)	Flirtation and Improper Familiarity with Men	0	1
Flax (Pishtan)	Flax and Vegetables; Flax as Special Material; Flax Attached to Ground	0	3
Flaying	Flaying in Animal Sacrifice; Flaying Process	1	3
Floating (Tzaf)	Floating (Tzaf) (floating)	0	1
Flock Combination (Mitztarfin)	Flock Combination (Mitztarfin) (combining flocks)	0	1
Floor Sanctification (Haritzpah Mekadeshet)	Floor Sanctification (Haritzpah Mekadeshet) (floor sanctification)	0	1
Flour Base (Solet)	Flour Base (Solet) (fine flour)	0	1
Flour Impurities (Kemachim)	Flour Impurities (Kemachim) (flour impurities)	0	1
Food Benefit (Hana'at Ma'achal)	Food Benefit (Hana'at Ma'achal) (food benefit)	0	1
Food from Food (Ochel Haba Me-Ochel)	Food from Food (Ochel Haba Me-Ochel) (food from food)	0	1
Foot (Regel)	Foot (Regel) (foot)	0	1
Forbidden Benefit (Isur Hana'ah)	Forbidden Benefit (Isur Hana'ah) (forbidden benefit)	0	1
Forbidden Foods (Ma'achalot Assurot)	Forbidden Foods (Ma'achalot Assurot) (forbidden foods); Forbidden Foods and Zimun	0	2
Forbidden Relationships (Arayot)	Forbidden Relationships (Arayot) (forbidden relationships)	0	1
Forbidden-at-Moment-of-Death Rule (Be-Sha'at Nefilah)	Forbidden-at-Moment-of-Death Rule (Be-Sha'at Nefilah) (at the moment of death)	0	1
Forced Participation (Kofin Oto)	Forced Participation (Kofin Oto) (forcing)	0	1
Forced Seizure (Ones)	Forced Seizure (Ones) (forced seizure)	0	1
Forfeiture of Evidence	Forgeable Documents and Witness Reliability	1	2
Forgetting Torah (Shachach Talmudo)	Forgetting Torah (mishkach)	1	2
Forty Days (arba'im yom)	Forty Days in Fetal Formation	1	2
Forum Shopping and Rabbinic Authority	Forum Shopping	1	2
Found Objects (Metzia)	Found Objects and Earnings	1	2
Four Amot Distance Rule	Four Amot Distance; Four Amot Rule; Four Amot Measurement	1	4
Four Amot in Limited Carrying Distance	Four Amot in Stepping Out Rule	1	2
Four by Four Amot Standard in Houses	Four by Four Amot Area; Four by Four Tefachim (space requirement)	1	3
Four Cups (Arba Kosot)	Four Cups in Pesach	1	2
Four Deaths	Four Executions (arba misos); Four modes of execution	1	3
Four Like Dead	Four Considered Like Dead	1	2
Four mil distance/time measure	Four mil (72 minutes) standard	1	2
Four red colors in Niddah blood identification	Four problematic blood colors	1	2
Four tefachim spatial boundary for proximity	Four tefachim width requirement for domain or opening	1	2
Four-by-four space	Four-by-four requirement; Four-by-four space requirement	1	3
Four-day inspection	Four-day advance checking requirement; Four-day checking	1	3
Fragrance and spices	Fragrance and perfume	1	2
Frankincense offering	Frankincense	1	6
Free will versus divine command	Free choice despite God's plan	1	2
Freed slave	Freeing slaves	1	2
Fruit juices	Fruit juice status	1	2
Gaavah and Humility	Gaavah (haughtiness); Gaavah and Humility (arrogance and humility); Gaavah and Humility before God	0	4
Gabbai Tzedaka	Gabbai tzedakah (charity collector)	0	1
Gabbaim	Gabbayim (community charity collectors)	0	1
Gachelet and Shalhevet	Gachelet vs. Shalhevet	0	1
Gachelet: Metal vs. Wooden	Gachelet Shel Metal (metal ember)	1	2
Galus (exile)	Galut (exile)	8	15
Gam Atem (even you—requirement that shaliach be like principal)	Gam Atem (even you)	1	2
Gamar seudah (completion of meal)	Gamar b'libo (completion in heart)	2	3
Gamma-shaped markings in signs (kemin gam)	Gamma (Greek letter configuration)	1	2
Ganav vs. Gazlan (thief vs. robber)	Ganav and Gazlan (thief and robber)	2	4
Garav (wart) - dry vs. moist types	Garav (wart)	1	2
Garment tearing and degradation in insult	Garment tearing	1	2
Garmi vs. Davar ha-goreim (indirect causation vs. natural cause)	Garmi (indirect causation)	1	5
Gasut ruach (arrogance)	Gasut haruach (haughtiness of spirit); Gasut (haughtiness)	2	4
Gavra vs. cheftza (person vs. object)	Gavra (person)	1	3
Gazeilah (theft)	Gazal (theft); Gazilah (theft)	2	7
Gazlan (robber)	Gazlan (thief)	37	38
Gazlan vs. Gannav	Gazlan vs. Nigzal	1	2
Ge'ulah (redemption)	Ge'ulat Acherim (redemption by others); Ge'ulat Atzmo (self-redemption); Ge'ulat Kerovim (redemption by relatives)	1	4
Gedi (kid goat)	Gedi in hermeneutics; Gedi Meshamesh receipt system	2	4
Gedida (cutting)	Gedida vs. Sherita	2	3
Gehinnom (hell)	Gehinnom and charity; Gehinnom and redemption; Gehinnom as consequence; Gehinnom as punishment; Gehinnom dialogue with God; Gei Ben Hinnom	18	25
Geirim (converts)	Geirei Emet (valid converts)	3	4
Geirus (conversion)	Geirumin (small extra measure)	3	4
Geirush (divorced status)	Ge'rushat Achiv (divorced status and brother-in-law); Geirush vs. Chalutzah (divorce vs. release); Geirushin (divorce document)	1	6
Gemar Da'at (finality of intent)	Gemar Da'as (finality of intent)	9	10
Gemara	Gemara assumptions and framing; Gemara clarification on spatial holiness distinctions; Gemara importance and analysis; Gemara on theft and owner stake; Gemara question: Where do we derive this?; Gemara reconstruction method; Gemara Ve-ha'idna nowadays modification; Gemara's analogy: successive betrothals; Gemara's assessment and logic; Gemara's challenge to derivations; Gemara's conceptual distinction: ritual obligation hinges on civil liability; Gemara's logical reasoning; Gemara's multi-solution approach; Gemara's reasoning and sources; Gemara's rejection of Muchzak interpretation; Gemara's stories of temptation	38	54
Gematria (numerical value)	Gematria of Eicha (36); Gematria of Herayon (271); Gematria of Tzitzit (600 plus eight strings equals 613 mitzvot); Gematria of Yihiyeh (30); Gematria of Zeh	9	15
Gemilut Chasadim (acts of lovingkindness)	Gemilut Hasadim (acts of kindness)	9	10
Gender distinction	Gender differences; Gender disparity and male adulterer; Gender-based clothing classification; Gender in Erchin pricing (male vs. female values)	1	5
Geneiva (theft)	Genav (thief); Geneiva and Mechira (stealing and selling); Genivah (theft)	6	9
Geniza (burial of holy objects)	Genizah (burial)	5	6
Geonim	Geonim and Gra approach	10	11
Ger (convert)	Ger after ten generations; Ger and marriage restrictions; Ger and relative marriage; Ger and testimony; Ger dying without heirs	28	33
Ger toshav (resident alien)	Ger Toshav (resident alien)	12	13
Ger tzedek (righteous convert)	Gerei hatzedek (righteous converts)	1	2
Gerah (small coin)	Gerah in Torah	2	3
Gerei emet (true converts)	Gerei arayot (fear-based converts); Gerei chalomot (converts due to dreams); Gerei Mordechai and Esther (converts during Purim)	1	9
Gerim (converts)	Gerim grurim (coerced converts); Gerim in community	6	8
Gerusha (divorced woman)	Gerusha (divorced wife); Gerusha (divorced woman) vs. Widow	11	13
Gerusha to Kohen (divorcee to priest)	Gerusha Married to Kohen	1	2
Gerushin (divorce)	Gerushin as parallel to death	8	9
Gerut (conversion)	Gerut Yisrael (conversion to Judaism)	2	3
Gestation periods	Gestation periods by animal type	1	2
Get (bill of divorce)	Get (divorce document)	105	106
Get Pashut (simple get)	Get Asheh (made get)	2	3
Get validity	Get Pasul (invalid get)	2	4
Geula (redemption)	Geula in blessings (redemption)	4	5
Geulat Olam (perpetual redemption rights for Levites)	Geulat Olam (eternal redemption)	1	2
Gevil (whole untreated hide)	Gevil (full grain leather)	2	3
Gevina (cheese)	Gevina (cheese) and single seal	1	2
Gevul (boundary/limitation)	Gevul in Shabbat (boundary/limit)	2	3
Gevurah (might/power)	Gevurah (heat-adding materials); Gevurah and Maaseh Bereishit (might/power and creative action)	2	4
Gezeila (theft/unlawful taking)	Gezel (theft); Gezel (theft; appropriation); Gezelah (theft); Gezilah Kayyemes (stolen object still present)	10	35
Gezeilot (theft matters)	Gezelot ve-Chavalot (theft and personal injury)	1	2
Gezeira (rabbinic decree)	Gezeirah (rabbinic decree); Gezera (rabbinic decree); Gezerah (rabbinic decree)	30	82
Gezeira Shava (verbal analogy)	Gezeirah Shava (verbal analogy); Gezera Shava (verbal analogy); Gezerah Shava (verbal analogy); Gezeirah shavah (verbal analogy); Gezeirot Shavot (verbal analogy)	28	132
Gezeira Shema (preventive decree)	Gezeirah Shema (preventive decree)	0	1
Gezeira Shema Yomru (preventive decree: lest one say)	Gezeirah Shema Yomru (decree lest people say)	3	4
Gezeirah l'Gezeirah (safeguard upon safeguard)	Gezeira le'Gezeira (decree to prevent a decree)	6	9
Gezeirah Shema Yochal (decree lest he eat)	Gezeira Shema Yokhal (rabbinic concern: lest he come to eat)	1	2
Gezeirat Rabanan (rabbinic decree/stringency)	Gezerah of Beit Din (enactment of the court)	1	2
Gezeirot (rabbinic decrees)	Gezerot (decrees)	3	4
Gezerat Hakatuv (biblical decree)	Gezeirat HaKatuv (scriptural decree); Gezerot HaKatuv (decree of scripture)	4	13
Gezerat Merchatzaot (bathhouse restriction)	Gezeirat Merchatzaot (bathhouse prohibition)	1	2
Gidul Gidulim (growth of growth)	Gidulei Gidulim (growth of growth)	1	2
Gidulei Gidulin (subsequent generation growth)	Gidulin (subsequent growth)	1	2
Gilgul Shevua (entanglement of oaths)	Gilgul shvu'ah (oath-rolling)	10	11
Gillui Arayot (forbidden sexual relations)	Gillui Arayot (sexual sin)	0	1
Gilluy (exposure to poison or contamination)	Gilui (exposure to poison or contamination)	1	4
Giluach (shaving or hair removal)	Giluach (hair cutting)	5	6
Girei didei (personal arrows)	Girei (arrows)	1	2
Girsa (textual variant)	Girua (deduction)	21	22
Gistra (back of neck severance)	Gistera (animal split in half)	1	2
Gitot (olive/grape pressing season)	Gitot and badim (pressing of olives and grapes)	1	2
Giza (shearing)	Gizza (shearing prohibition)	1	2
Gizei tzemar (wool shearings)	Gizos and velados (shearings and offspring)	1	2
Gmar Din (finalization of judgment)	Gmar din (completion of judgment)	14	18
Gmar Melacha (completion of work)	Gmar Melacha in tithes (completion of work in tithes)	10	11
Go'el (redeemer)	Go'el miyad (immediate redemption right)	1	2
God's anger (divine wrath)	God's anger and its duration (divine wrath)	1	2
God's presence (divine immanence)	God's presence and manifest connection (divine intimacy)	1	2
God's transcendence (divine nature)	God's ways not like human ways (divine transcendence)	0	1
Going rate (market rate)	Going rate (sha'ar) for determining overcharge	1	2
Gold altar (mizbe'ach ha-zahav)	Golden altar	1	2
Golel vedofek (coffin-boards/headstone)	Golel ve-dofek	1	2
Goral (drawing lots)	Goral (drawing lots) in land division; Goral (drawing lots) in property division	4	6
Goring ox (nagach)	Goring ox vs. human perpetrator distinction	3	4
Goses (dying person)	Goses (dying person) and when violation occurs; Goses (dying person) impurity status; Goses (person in death throes)	4	7
Grama (indirect causation)	Grama and garmi (indirect and direct causation); Grama in damages (indirect causation)	26	28
Grandmother-in-law (em chamoto)	Grandmother-in-law	1	2
Grapes (anavim)	Grapes and dates confused; both are fruit	1	2
Gratitude for bad things that bring hidden good	Gratitude vs. awe framework	1	2
Grave-related implements (sal, magrefah, maritza)	Gravedigger (amgosha)	1	2
Gray zone/middle status of quasi-attached food	Gray zone connection (psul but not maachil)	1	2
Greek numerical terms (hen, digon, trigon, tetragon, pentagon)	Greek geometric terminology (acta, digon, trigon, tetragon, pentagon)	1	2
Greek wisdom (chochmat yevanit)	Greek wisdom; Greek wisdom in communication (chochmat yevanit)	1	3
Gris (unit of measurement)	Gris (bean measurement); Gris (lentil-bean size minimum for leprosy); Gris (split bean size)	2	5
Grogeret (pressed fig measure)	Grogeret (dried fig measure); Grogeret (pressed date measure)	4	8
Grogrot and tzimukim (dried figs and raisins)	Grogaros (dried figs)	1	2
Grusha in kohanim restrictions (divorcée forbidden to priests)	Grusha (divorcée); Grusha in beit din (divorcée requiring court)	1	8
Guf u-Peirot (corpus and usufruct)	Guf vs. Peirot (corpus versus usufruct)	1	2
Gufah Hi (fetus as part of mother's body)	Gufim Mechulakim (distinct bodies)	1	5
Guma (hole)	Guma (hole filling)	1	2
Gzeila (theft)	Gzeirat HaKatuv (scriptural decree)	1	2
Gzeira (rabbinic enactment)	Gzeira in Pesach and Succos (uniform observance)	3	4
Gzeira Shava (verbal analogy)	Gzeira Shema Yomru (protective decree)	8	9
Ha'alat Chutz (offering outside the Temple)	Ha'alat Chutz (burning outside)	1	5
Ha'arev Shemesh (setting of the sun)	Ha'erev Shemesh (awaiting nightfall after immersion)	1	2
Ha'El HaKadosh (The Holy God)	Ha-El Ha-Kadosh (The Holy God/King)	1	2
Hachana (preparation)	Hachana (preparation for next activity)	4	6
Hachnasat Orchim (hospitality)	Hachnasat orchim (hospitality to guests)	1	4
Hadar (beauty/splendor)	Hadar (beauty)	6	7
Hadassim (myrtles)	Hadas (myrtle)	3	7
Hafara (annulment of vows)	Hafara (annulment by husband); Hafara (annulment); Hafarah (annulment); Hafarah (annulling a vow)	5	14
Hafarat Nedarim (annulment of vows)	Hafarat Nedarim (annulment of vows by husband); Hafarat Nedarim (annulment of vows by sage)	5	7
Hafka'at Kiddushin (annulment of betrothal)	Hafka'as Kiddushin (annulment of marriage)	1	6
Hafrasha (designation)	Hafrasha (separation); Hafrasha (designation of korban); Hafrasha (designation) in Terumah	2	6
Haftarah (reading from prophets)	Haftarah in liturgy	2	3
Hagbaha (lifting as mode of acquisition)	Hagbaha (lifting)	4	17
Haggadah (recitation of Exodus story)	Haggadah in Seder	2	4
Haggai the Prophet	Haggai; Haggai Prophecy	1	3
Haggai, Zechariah, and Malachi	Haggai, Zechariah, Malachi (last prophets)	1	2
Hagralah (drawing of lots for Yom Kippur goats)	Hagralah (drawing of lots); Hagralah (lottery)	2	7
Hagrama (moving knife above proper zone)	Hagrama (cutting in wrong location)	4	5
Hair cutting (Taglachas)	Haircut (Kumi); Haircut prohibition (Tisporet)	1	3
Hakafat Rosh (cutting sideburns)	Hakafa (circle-like shaving of sideburns)	1	2
Hakarat HaTov (gratitude)	Hakat Hatov (gratitude)	1	2
Hakhel (assembly of Israel)	Hakhel ceremony	4	5
Halacha k'divrei ha-meikel (ruling follows lenient opinion)	Halacha k'divrei hameikel (follow lenient opinion); Halacha k'meikel (ruling according to lenient opinion)	1	3
Halacha l'ma'aseh (practical ruling)	Halacha conclusion	5	6
Halacha ve'ein morin ken (transparency in teaching)	Halacha v'ein morin ken (ruling not taught publicly)	1	5
Halacha vs. minhag (law vs. custom)	Halacha, minhag, nahagu (levels of ruling)	1	2
Half measure (chatzi shiur)	Half K'zayit (half measure)	1	2
Half-slave, half-free	Half-slave, half-free (chatzi eved chatzi ben chorin); Half-slave, half-free (legal status); Half-slave, half-free (mechetzah eved, mechetzah ben chorin)	1	7
Hallel (praise psalms)	Hallel - origins and composition	16	17
Hallel HaMitzri (Egyptian hallel)	Hallel HaMitzri (Egyptian hallel - Pesach/Yom Tov)	1	2
Halva'ah (loan portion)	Halva'ot (loans)	1	2
Haman	Haman (bowing to human claiming divinity); Haman - downfall and humiliation; Haman as avodah zarah (idolatry); Haman as object of jealousy; Haman's decrees	4	9
HaMelech HaKadosh (the Holy King)	HaMelech HaKadosh / HaMelech HaMishpat (the Holy King / the Just King)	1	2
Hamizbeach Mekadesh (altar sanctifies)	Hamizbeach Mekadeshan (altar sanctifies)	1	2
HaMotze MiChavero Alav HaRe'aya (one who takes from another bears burden of proof)	Hamotzi me-chaveiro alav ha-ra'ayah (burden of proof)	1	54
Hana'ah (benefit)	Hana'ah (deriving benefit)	47	49
Har Eival (Mount of Curse)	Har Eival	1	3
Har Gerizim (Mount of Blessing)	Har Gerizim	1	4
Har Sinai (Mount Sinai)	Har Sinai	1	8
Harei Alai (obligation upon me)	Harei Alai (personal obligation)	1	2
Harugei Malkhut (martyrs of the kingdom)	Harugei Malchut (those killed by the government)	4	5
Hashavat Aveida (returning lost objects)	Hasheiv Teshivem (return lost objects); Hashev Tashiv (return/restore)	7	9
Hashchasah (corruption)	Hashchasah (corruption) as a cause of invalidation	1	2
Hashem (God's name)	Hashem Sefasai Tiftach; Hashem Zokef Kefufim; Hashem's name in greeting; Hashem, Hashem — opening of thirteen attributes	1	6
